  C31: ['14.906', '13.903', '12.890', '11.887', '10.823', '9.860', '8.837', '7.858', '6.943', '6.198', '5.393', '4.719', '4.242', '3.888', '3.586', '3.196', '3.082', '2.879']

BETA per componente:
  C0: ['6.713', '6.346', '5.961', '5.552', '5.134', '4.722', '4.360', '3.962', '3.621', '3.254', '2.920', '2.661', '2.506', '2.320', '2.183', '2.065', '1.913', '1.823']
  C1: ['6.739', '6.357', '5.948', '5.561', '5.133', '4.763', '4.346', '3.965', '3.613', '3.275', '2.931', '2.668', '2.503', '2.324', '2.180', '2.039', '1.939', '1.834']
  C2: ['6.726', '6.361', '5.967', '5.561', '5.146', '4.759', '4.333', '3.961', '3.605', '3.259', '2.927', '2.671', '2.492', '2.312', '2.177', '2.029', '1.934', '1.833']
  C3: ['6.731', '6.351', '5.939', '5.555', '5.135', '4.751', '4.342', '3.958', '3.604', '3.260', '2.933', '2.668', '2.497', '2.318', '2.183', '2.014', '1.928', '1.826']
  C4: ['6.724', '6.364', '5.962', '5.556', '5.135', '4.739', '4.339', '3.956', '3.607', '3.254', '2.929', '2.674', '2.477', '2.322', '2.180', '2.075', '1.950', '1.834']
  C5: ['6.730', '6.357', '5.942', '5.552', '5.142', '4.743', '4.353', '3.973', '3.604', '3.261', '2.921', '2.662', '2.484', '2.335', '2.187', '2.033', '1.928', '1.818']
  C6: ['6.734', '6.347', '5.961', '5.567', '5.157', '4.711', '4.346', '3.965', '3.617', '3.254', '2.932', '2.668', '2.488', '2.306', '2.180', '2.036', '1.941', '1.847']
  C7: ['6.716', '6.354', '5.958', '5.566', '5.152', '4.735', '4.360', '3.958', '3.606', '3.267', '2.930', '2.661', '2.498', '2.330', '2.178', '2.066', '1.929', '1.824']
  C8: ['6.720', '6.342', '5.961', '5.564', '5.100', '4.738', '4.358', '3.969', '3.615', '3.269', '2.940', '2.668', '2.491', '2.337', '2.180', '2.058', '1.937', '1.829']
  C9: ['6.717', '6.355', '5.975', '5.554', '5.185', '4.731', '4.354', '3.952', '3.607', '3.262', '2.922', '2.662', '2.481', '2.328', '2.174', '2.079', '1.920', '1.824']
  C10: ['6.725', '6.353', '5.939', '5.558', '5.164', '4.752', '4.330', '3.955', '3.618', '3.246', '2.930', '2.660', '2.502', '2.333', '2.179', '2.025', '1.921', '1.843']
  C11: ['6.727', '6.345', '5.968', '5.557', '5.167', '4.762', '4.333', '3.967', '3.614', '3.261', '2.938', '2.665', '2.492', '2.330', '2.181', '2.052', '1.939', '1.843']
  C12: ['6.732', '6.364', '5.952', '5.558', '5.155', '4.739', '4.348', '3.950', '3.614', '3.265', '2.942', '2.671', '2.487', '2.336', '2.179', '2.046', '1.936', '1.836']
  C13: ['6.727', '6.356', '5.990', '5.562', '5.141', '4.743', '4.354', '3.961', '3.590', '3.247', '2.928', '2.666', '2.492', '2.333', '2.183', '2.065', '1.934', '1.844']
  C14: ['6.729', '6.355', '5.959', '5.564', '5.128', '4.753', '4.338', '3.957', '3.614', '3.260', '2.919', '2.664', '2.473', '2.321', '2.182', '2.028', '1.929', '1.835']
  C15: ['6.727', '6.350', '5.955', '5.556', '5.119', '4.733', '4.357', '3.953', '3.605', '3.257', '2.927', '2.670', '2.492', '2.326', '2.182', '2.064', '1.918', '1.839']
  C16: ['6.731', '6.352', '5.949', '5.557', '5.168', '4.728', '4.334', '3.966', '3.607', '3.260', '2.921', '2.678', '2.496', '2.313', '2.180', '2.043', '1.952', '1.832']
  C17: ['6.721', '6.358', '5.949', '5.548', '5.151', '4.751', '4.342', '3.967', '3.600', '3.257', '2.942', '2.669', '2.507', '2.344', '2.176', '2.076', '1.920', '1.849']
  C18: ['6.729', '6.351', '5.953', '5.560', '5.175', '4.749', '4.343', '3.972', '3.601', '3.237', '2.919', '2.662', '2.486', '2.320', '2.179', '2.063', '1.931', '1.841']
  C19: ['6.719', '6.357', '5.961', '5.564', '5.141', '4.737', '4.352', '3.952', '3.612', '3.250', '2.919', '2.673', '2.479', '2.338', '2.176', '2.063', '1.932', '1.845']
  C20: ['6.728', '6.359', '5.951', '5.550', '5.186', '4.715', '4.349', '3.963', '3.612', '3.250', '2.933', '2.660', '2.494', '2.336', '2.177', '2.063', '1.920', '1.840']
  C21: ['6.723', '6.348', '5.944', '5.552', '5.136', '4.736', '4.343', '3.959', '3.617', '3.265', '2.924', '2.666', '2.489', '2.329', '2.185', '2.068', '1.941', '1.823']
  C22: ['6.733', '6.363', '5.943', '5.550', '5.133', '4.738', '4.336', '3.962', '3.607', '3.260', '2.933', '2.665', '2.489', '2.323', '2.179', '2.058', '1.935', '1.838']
  C23: ['6.726', '6.359', '5.966', '5.561', '5.174', '4.750', '4.345', '3.953', '3.605', '3.271', '2.931', '2.666', '2.505', '2.340', '2.174', '2.077', '1.922', '1.826']
  C24: ['6.740', '6.345', '5.948', '5.556', '5.132', '4.735', '4.346', '3.961', '3.611', '3.270', '2.939', '2.664', '2.493', '2.320', '2.182', '2.037', '1.933', '1.828']
  C25: ['6.738', '6.365', '5.970', '5.564', '5.141', '4.733', '4.345', '3.962', '3.614', '3.265', '2.943', '2.651', '2.493', '2.325', '2.181', '2.059', '1.940', '1.826']
  C26: ['6.725', '6.364', '5.955', '5.547', '5.161', '4.740', '4.345', '3.961', '3.611', '3.263', '2.924', '2.668', '2.485', '2.321', '2.180', '2.064', '1.903', '1.841']
  C27: ['6.736', '6.352', '5.949', '5.548', '5.131', '4.736', '4.355', '3.964', '3.612', '3.261', '2.926', '2.664', '2.482', '2.334', '2.178', '2.025', '1.925', '1.829']
  C28: ['6.717', '6.366', '5.966', '5.565', '5.188', '4.733', '4.349', '3.974', '3.619', '3.273', '2.930', '2.668', '2.494', '2.348', '2.183', '2.066', '1.923', '1.833']
  C29: ['6.725', '6.370', '5.947', '5.565', '5.169', '4.747', '4.340', '3.968', '3.607', '3.261', '2.932', '2.652', '2.492', '2.348', '2.179', '2.079', '1.935', '1.820']
  C30: ['6.737', '6.351', '5.932', '5.555', '5.136', '4.747', '4.335', '3.971', '3.620', '3.258', '2.933', '2.666', '2.491', '2.345', '2.180', '2.060', '1.920', '1.832']
  C31: ['6.727', '6.363', '5.962', '5.548', '5.174', '4.752', '4.342', '3.958', '3.610', '3.273', '2.936', '2.671', '2.496', '2.319', '2.187', '2.031', '1.917', '1.832']
